metric,model,user_group,count,mean,std,f_statistic,p_value
CatalogCoverage,WMF,"High (Novelty), Low (Gini)",215,0.7517165005537099,0.054872389033954354,10.905667235300848,4.830882441760796e-07
CatalogCoverage,WMF,"Low (Novelty), High (Gini)",242,0.77262888626525,0.05758867777115188,10.905667235300848,4.830882441760796e-07
CatalogCoverage,WMF,"Low (Novelty), Low (Gini)",210,0.7434240362811791,0.05823929471365089,10.905667235300848,4.830882441760796e-07
APLT,EASEᴿ,"High (Novelty), High (Gini)",255,0.052156862745098044,0.11147390721652706,15.084679527427028,1.3699288069775773e-09
APLT,EASEᴿ,"High (Novelty), Low (Gini)",215,0.044186046511627906,0.11701570623350066,15.084679527427028,1.3699288069775773e-09
APLT,EASEᴿ,"Low (Novelty), High (Gini)",242,0.01487603305785124,0.0556532790857354,15.084679527427028,1.3699288069775773e-09
APLT,EASEᴿ,"Low (Novelty), Low (Gini)",210,0.006190476190476191,0.02415583190625324,15.084679527427028,1.3699288069775773e-09
APLT,NeuMF,"High (Novelty), High (Gini)",255,0.046274509803921574,0.12349823525650627,21.659957156819583,1.4694773258323296e-13
APLT,NeuMF,"High (Novelty), Low (Gini)",215,0.060000000000000005,0.15671868957961396,21.659957156819583,1.4694773258323296e-13
APLT,NeuMF,"Low (Novelty), High (Gini)",242,0.0004132231404958678,0.006428243465332251,21.659957156819583,1.4694773258323296e-13
APLT,NeuMF,"Low (Novelty), Low (Gini)",210,0.0004761904761904762,0.006900655593423544,21.659957156819583,1.4694773258323296e-13
APLT,VAECF,"High (Novelty), High (Gini)",255,0.12117647058823529,0.2288764672032988,35.79889585175882,6.968666633335512e-22
APLT,VAECF,"High (Novelty), Low (Gini)",215,0.12279069767441861,0.2533728144269477,35.79889585175882,6.968666633335512e-22
APLT,VAECF,"Low (Novelty), High (Gini)",242,0.0016528925619834713,0.025712973861329005,35.79889585175882,6.968666633335512e-22
APLT,VAECF,"Low (Novelty), Low (Gini)",210,0.005714285714285714,0.04446077014653751,35.79889585175882,6.968666633335512e-22
APLT,WMF,"High (Novelty), High (Gini)",255,0.15176470588235294,0.15719872926237194,46.93056090297718,3.201891638721464e-28
APLT,WMF,"High (Novelty), Low (Gini)",215,0.14418604651162792,0.15178428738788577,46.93056090297718,3.201891638721464e-28
APLT,WMF,"Low (Novelty), High (Gini)",242,0.05165289256198347,0.0831021678586166,46.93056090297718,3.201891638721464e-28
APLT,WMF,"Low (Novelty), Low (Gini)",210,0.05047619047619047,0.08081381463670548,46.93056090297718,3.201891638721464e-28
